,티커,종목명
1193,020710,시공테크
1194,033170,시그네틱스
1195,048870,시너지이노베이션
1196,025320,시노펙스
1197,134790,시디즈
1198,269620,시스웍
1199,131090,시큐브
1200,232830,시큐센
1201,139050,시티랩스
1202,016590,신대양제지
1203,290520,신도기연
1204,029530,신도리코
1205,004970,신라교역
1206,001000,신라섬유
1207,025870,신라에스지
1208,215600,신라젠
1209,065350,신성델타테크
1210,011930,신성이엔지
1211,005390,신성통상
1212,004170,신세계
1213,035510,신세계 I&C
1214,034300,신세계건설
1215,031430,신세계인터내셔날
1216,031440,신세계푸드
1217,006880,신송홀딩스
1218,002800,신신제약
1219,344050,신영스팩6호
1220,419270,신영스팩7호
1221,430220,신영스팩8호
1222,005800,신영와코루
1223,001720,신영증권
1224,001725,신영증권우
1225,009270,신원
1226,017000,신원종합개발
1227,002700,신일전자
1228,012790,신일제약
1229,138070,신진에스엠
1230,226330,신테카바이오
1231,019170,신풍제약
1232,019175,신풍제약우
1233,002870,신풍제지
1234,404990,신한서부티엔디리츠
1235,293940,신한알파리츠
1236,418210,신한제10호스팩
1237,333050,신한제6호스팩
1238,366330,신한제7호스팩
1239,393360,신한제8호스팩
1240,405640,신한제9호스팩
1241,055550,신한지주
1242,056700,신화인터텍
1243,187270,신화콘텍
1244,004080,신흥
1245,243840,신흥에스이씨
1246,257720,실리콘투
1247,222800,심텍
1248,036710,심텍홀딩스
1249,160980,싸이맥스
1250,356890,싸이버원
1251,217330,싸이토젠
1252,102280,쌍방울
1253,003410,쌍용C&E
1254,010280,쌍용정보통신
1255,003620,쌍용차
1256,004770,써니전자
1257,217320,썬테크
1258,208640,썸에이지
1259,222420,쎄노텍
1260,037760,쎄니트
1261,099320,쎄트렉아이
1262,015540,쎌마테라퓨틱스
1263,049960,쎌바이오텍
1264,403550,쏘카
1265,050890,쏠리드
1266,066790,씨씨에스
1267,222080,씨아이에스
1268,004920,씨아이테크
1269,236030,씨알푸드
1270,103660,씨앗
1271,352480,씨앤씨인터내셔널
1272,245450,씨앤에스링크
1273,264660,씨앤지하이테크
1274,352700,씨앤투스성진
1275,297090,씨에스베어링
1276,112610,씨에스윈드
1277,359090,씨엔알리서치
1278,286000,씨엔티드림
1279,115530,씨엔플러스
1280,115480,씨유메디칼
1281,376290,씨유테크
1282,189330,씨이랩
1283,096530,씨젠
1284,900120,씨케이에이치
1285,101240,씨큐브
1286,060590,씨티씨바이오
1287,260930,씨티케이
1288,013990,아가방컴퍼니
1289,123860,아나패스
1290,025980,아난티
1291,008700,아남전자
1292,058220,아리온
1293,125210,아모그린텍
1294,002790,아모레G
1295,00279K,아모레G3우(전환)
1296,002795,아모레G우
1297,090430,아모레퍼시픽
1298,090435,아모레퍼시픽우
1299,357580,아모센스
1300,052710,아모텍
1301,074430,아미노로직스
1302,092040,아미코젠
1303,083930,아바코
1304,149950,아바텍
1305,036010,아비코전자
1306,002030,아세아
1307,183190,아세아시멘트
1308,002310,아세아제지
1309,050860,아세아텍
1310,012170,아센디오
1311,136410,아셈스
1312,246720,아스타
1313,067390,아스트
1314,159010,아스플로
1315,127710,아시아경제
1316,267850,아시아나IDT
1317,020560,아시아나항공
1318,154030,아시아종묘
1319,227610,아우딘퓨쳐스
1320,143160,아이디스
1321,054800,아이디스홀딩스
1322,332370,아이디피
1323,122900,아이마켓코리아
1324,339950,아이비김영
1325,099190,아이센스
1326,289010,아이스크림에듀
1327,214430,아이쓰리시스템
1328,040910,아이씨디
1329,368600,아이씨에이치
1330,068940,아이씨케이
1331,052860,아이앤씨
1332,010780,아이에스동서
1333,069920,아이에스이커머스
1334,038880,아이에이
1335,307180,아이엘사이언스
1336,101390,아이엠
1337,078860,아이오케이
1338,114810,아이원스
1339,090150,아이윈
1340,123010,아이윈플러스
1341,031310,아이즈비전
1342,185490,아이진
1343,059100,아이컴포넌트
1344,149010,아이케이세미콘
1345,262840,아이퀘스트
1346,175250,아이큐어
1347,052460,아이크래프트
1348,119830,아이텍
1349,052770,아이톡시
1350,124500,아이티센
1351,372800,아이티아이즈
1352,084850,아이티엠반도체
1353,114840,아이패밀리에스씨
1354,027360,아주IB투자
1355,139990,아주스틸
1356,032080,아즈텍WB
1357,013310,아진산업
1358,059120,아진엑스텍
1359,158430,아톤
1360,149300,아퓨어스
1361,067160,아프리카TV
1362,001540,안국약품
1363,053800,안랩
1364,251280,안지오랩
1365,065660,안트로젠
1366,297570,알로이스
1367,001780,알루코
1368,260660,알리코제약
1369,361570,알비더블유
1370,131370,알서포트
1371,140670,알에스오토메이션
1372,096610,알에프세미
1373,061040,알에프텍
1374,148250,알엔투테크놀로지
1375,347860,알체라
1376,196170,알테오젠
1377,123750,알톤스포츠
1378,085810,알티캐스트
1379,117670,알파홀딩스
1380,291650,압타머사이언스
1381,293780,압타바이오
1382,267810,앙츠
1383,018250,애경산업
1384,161000,애경케미칼
1385,196300,애니젠
1386,310200,애니플러스
1387,179530,애드바이오텍
1388,900100,애머릿지
1389,205500,액션스퀘어
1390,052790,액토즈소프트
1391,290740,액트로
1392,238090,앤디포스
1393,092600,앤씨앤
1394,129890,앱코
1395,174900,앱클론
1396,255440,야스
1397,030960,양지사
1398,102120,어보브반도체
1399,263540,어스앤에어로스페이스
1400,238120,얼라인드
1401,224810,엄지하우스
1402,019990,에너토크
1403,011090,에넥스
1404,270660,에브리봇
1405,038680,에스넷
1406,137310,에스디바이오센서
1407,217480,에스디생명공학
1408,121890,에스디시스템
1409,097780,에스맥
1410,042110,에스씨디
1411,298060,에스씨엠생명과학
1412,065420,에스아이리소스
1413,270210,에스알바이오텍
1414,103230,에스앤더블류
1415,260970,에스앤디
1416,101490,에스앤에스텍
1417,095910,에스에너지
1418,275630,에스에스알
1419,031330,에스에이엠티
1420,060540,에스에이티
1421,351320,에스에이티이엔지
1422,056190,에스에프에이
1423,080000,에스엔유
1424,086460,에스엔피제네틱스
1425,005850,에스엘
1426,214310,에스엘바이오닉스
1427,246250,에스엘에스바이오
1428,041510,에스엠
1429,010580,에스엠벡셀
1430,299670,에스엠비나
1431,007820,에스엠코어
1432,109610,에스와이
1433,012750,에스원
1434,306040,에스제이그룹
1435,217910,에스제이켐
1436,224020,에스케이씨에스
1437,408920,에스케이증권7호스팩
1438,096630,에스코넥
1439,069510,에스텍
1440,041910,에스텍파마
1441,234300,에스트래픽
1442,039440,에스티아이
1443,098660,에스티오
1444,052020,에스티큐브
1445,237690,에스티팜
1446,050760,에스폴리텍
1447,288620,에스퓨얼셀
1448,317830,에스피시스템스
1449,058610,에스피지
1450,043340,에쎈테크
1451,023960,에쓰씨엔지니어링
1452,298690,에어부산
1453,187660,에이디엠코리아
1454,054630,에이디칩스
1455,200710,에이디테크놀로지
1456,096690,에이루트
1457,140910,에이리츠
1458,078520,에이블씨엔씨
1459,298380,에이비엘바이오
1460,203400,에이비온
1461,195990,에이비프로바이오
1462,003800,에이스침대
1463,088800,에이스테크
1464,241840,에이스토리
1465,312610,에이에프더블류
1466,015260,에이엔피
1467,234070,에이원알폼
1468,072990,에이치시티
1469,227100,에이치앤비디자인
1470,044990,에이치엔에스하이텍
1471,239610,에이치엘사이언스
1472,353070,에이치엠씨제4호스팩
1473,353060,에이치엠씨제5호스팩
1474,148930,에이치와이티씨
1475,044780,에이치케이
1476,357230,에이치피오
1477,071670,에이테크솔루션
1478,045660,에이텍
1479,224110,에이텍티앤
1480,230980,에이트원
1481,021080,에이티넘인베스트
1482,089530,에이티세미콘
1483,200470,에이팩트
1484,207490,에이펙스인텍
1485,262260,에이프로
1486,007460,에이프로젠
1487,109960,에이프로젠 H&G
1488,003060,에이프로젠제약
1489,397030,에이프릴바이오
1490,244920,에이플러스에셋
1491,089970,에이피티씨
1492,230240,에치에프알
1493,230360,에코마케팅
1494,038870,에코바이오
1495,128540,에코캡
1496,086520,에코프로
1497,247540,에코프로비엠
1498,383310,에코프로에이치엔
1499,038110,에코플라스틱
1500,073540,에프알텍
1501,064850,에프앤가이드
1502,064090,에프앤리퍼블릭
1503,036810,에프에스티
1504,173940,에프엔씨엔터
1505,083500,에프엔에스테크
1506,054940,엑사이엔씨
1507,950130,엑세스바이오
1508,205100,엑셈
1509,070300,엑스큐어
1510,092870,엑시콘
1511,317870,엔바이오니아
1512,067570,엔브이에이치코리아
1513,236810,엔비티
1514,140610,엔솔바이오사이언스
1515,333620,엔시스
1516,101400,엔시트론
1517,036570,엔씨소프트
1518,217820,엔에스
1519,031860,엔에스엔
1520,238170,엔에스엠
1521,224760,엔에스컴퍼니
1522,380440,엔에이치스팩19호
1523,391060,엔에이치스팩20호
1524,396770,엔에이치스팩22호
1525,422040,엔에이치스팩23호
1526,265740,엔에프씨
1527,354200,엔젠바이오
1528,093510,엔지브이아이
1529,208860,엔지스테크널러지
1530,183490,엔지켐생명과학
1531,085310,엔케이
1532,182400,엔케이맥스
1533,348370,엔켐
1534,069410,엔텔스
1535,227950,엔투텍
1536,291230,엔피
1537,198080,엔피디
1538,048830,엔피케이
1539,096870,엘디티
1540,276240,엘리비젼
1541,900140,엘브이엠씨홀딩스
1542,376190,엘비루셈
1543,061970,엘비세미콘
1544,138690,엘아이에스
1545,290650,엘앤씨바이오
1546,066970,엘앤에프
1547,156100,엘앤케이바이오
1548,311060,엘에이티
1549,073110,엘엠에스
1550,083310,엘오티베큠
1551,037950,엘컴텍
1552,170920,엘티씨
1553,058630,엠게임
1554,058970,엠로
1555,019590,엠벤처투자
1556,169330,엠브레인
1557,097520,엠씨넥스
1558,179290,엠아이텍
1559,009780,엠에스씨
1560,123040,엠에스오토텍
1561,323230,엠에프엠코리아
1562,033160,엠케이전자
1563,347890,엠투아이
1564,033310,엠투엔
1565,259630,엠플러스
1566,065150,엠피대산
1567,115960,연우
1568,090740,연이비앤티
1569,060850,영림원소프트랩
1570,014440,영보화학
1571,007530,영신금속
1572,143540,영우디에스피
1573,111770,영원무역
1574,009970,영원무역홀딩스
1575,003520,영진약품
1576,112290,영창케미칼
1577,000670,영풍
1578,036560,영풍정밀
1579,006740,영풍제지
1580,012280,영화금속
1581,265560,영화테크
1582,012160,영흥
1583,036000,예림당
1584,250930,예선테크
1585,053280,예스24
1586,015360,예스코홀딩스
1587,122640,예스티
1588,900300,오가닉티코스메틱
1589,045060,오공
1590,080520,오디텍
1591,007310,오뚜기
1592,039830,오로라
1593,322310,오로스테크놀로지
1594,046120,오르비텍
1595,014940,오리엔탈정공
1596,002630,오리엔트바이오
1597,065500,오리엔트정공
1598,271560,오리온
1599,001800,오리온홀딩스
1600,010470,오리콤
1601,352910,오비고
1602,053980,오상자이엘
1603,052420,오성첨단소재
1604,241790,오션브릿지
1605,329020,오션스톤
1606,039200,오스코텍
1607,226400,오스테오닉
1608,031510,오스템
1609,048260,오스템임플란트
1610,138080,오이솔루션
1611,080580,오킨스전자
1612,067170,오텍
1613,353590,오토앤
1614,173130,오파스넷
1615,049480,오픈베이스
1616,309930,오하임아이엔티
1617,244460,올리패스
1618,226950,올릭스
1619,057540,옴니시스템
1620,131030,옵투스제약
1621,082210,옵트론텍
1622,109080,옵티시스
1623,153710,옵티팜
1624,321820,와이더플래닛
1625,122990,와이솔
1626,232140,와이아이케이
1627,065530,와이어블
1628,067900,와이엔텍
1629,155650,와이엠씨
1630,273640,와이엠텍
1631,251370,와이엠티
1632,066430,와이오엠
1633,193250,와이제이엠게임즈
1634,273060,와이즈버즈
1635,019210,와이지-원
1636,122870,와이지엔터테인먼트
1637,011690,와이투솔루션
1638,332570,와이팜
1639,079000,와토스코리아
1640,070960,용평리조트
1641,316140,우리금융지주
1642,032820,우리기술
1643,041190,우리기술투자
1644,115440,우리넷
1645,046970,우리로
1646,082850,우리바이오
1647,215360,우리산업
1648,072470,우리산업홀딩스
1649,073560,우리손에프앤지
1650,037400,우리엔터프라이즈
1651,153490,우리이앤엘
1652,010050,우리종금
1653,101170,우림피티에스
1654,006980,우성
1655,066590,우수AMS
1656,017370,우신시스템
1657,103840,우양
1658,046940,우원개발
1659,215380,우정바이오
1660,065680,우주일렉트로
1661,105840,우진
1662,018620,우진비앤지
1663,010400,우진아이엔에스
1664,049800,우진플라임
1665,016880,웅진
1666,095720,웅진씽크빅
1667,005820,원림
1668,307280,원바이오젠
1669,053080,원방테크
1670,032940,원익
1671,240810,원익IPS
1672,074600,원익QnC
1673,104830,원익머트리얼즈
1674,014190,원익큐브
1675,131390,원익피앤이
1676,030530,원익홀딩스
1677,012620,원일특강
1678,382840,원준
1679,336570,원텍
1680,376980,원티드랩
1681,122830,원포유
1682,008370,원풍
1683,008290,원풍물산
1684,101160,월덱스
1685,336060,웨이버스
1686,095270,웨이브일렉트로
1687,010600,웰바이오텍
1688,065950,웰크론
1689,076080,웰크론한텍
1690,196700,웹스
1691,069080,웹젠
1692,053580,웹케시
1693,071460,위니아
1694,377460,위니아에이드
1695,044340,위닉스
1696,330350,위더스제약
1697,348350,위드텍
1698,112040,위메이드
1699,101730,위메이드맥스
1700,123420,위메이드플레이
1701,065370,위세아이텍
1702,140660,위월드
1703,038620,위즈코프
1704,299900,위지윅스튜디오
1705,036090,위지트
1706,136540,윈스
1707,320000,윈텍
1708,097800,윈팩
1709,192390,윈하이텍
1710,313760,윌링스
1711,008600,윌비스
1712,900340,윙입푸드
1713,033270,유나이티드제약
1714,064510,유네코
1715,014830,유니드
1716,036200,유니셈
1717,018000,유니슨
1718,000910,유니온
1719,047400,유니온머티리얼
1720,203450,유니온커뮤니티
1721,011330,유니켐
1722,077500,유니퀘스트
1723,011320,유니크
1724,086390,유니테스트
1725,241690,유니테크노
1726,142210,유니트론텍
1727,121060,유니포인트
1728,048430,유라테크
1729,206650,유바이오로직스
1730,089850,유비벨록스
1731,084440,유비온
1732,032620,유비케어
1733,264450,유비쿼스
1734,078070,유비쿼스홀딩스
1735,002920,유성기업
1736,024800,유성티엔에스
1737,000700,유수홀딩스
1738,054930,유신
1739,069330,유아이디
1740,049520,유아이엘
1741,367460,유안타제7호스팩
1742,367480,유안타제8호스팩
1743,430700,유안타제9호스팩
1744,003470,유안타증권
1745,003475,유안타증권우
1746,263770,유에스티
1747,337840,유엑스엔
1748,072130,유엔젤
1749,000220,유유제약
1750,000225,유유제약1우
1751,000227,유유제약2우B
1752,388720,유일로보틱스
1753,340930,유일에너테크
1754,023410,유진기업
1755,056080,유진로봇
1756,373340,유진스팩6호
1757,388800,유진스팩7호
1758,413630,유진스팩8호
1759,084370,유진테크
1760,001200,유진투자증권
1761,178780,유테크
1762,221800,유투바이오
1763,179900,유티아이
1764,263050,유틸렉스
1765,000100,유한양행
1766,000105,유한양행우
1767,003460,유화증권
1768,003465,유화증권우
1769,191410,육일씨엔에쓰
1770,008730,율촌화학
1771,072770,율호
1772,008250,이건산업
1773,039020,이건홀딩스
1774,025820,이구산업
1775,067920,이글루
1776,044960,이글벳
1777,303530,이노뎁
1778,302430,이노메트리
1779,279060,이노벡스
1780,214320,이노션
1781,056090,이노시스
1782,073490,이노와이어리스
1783,215790,이노인스트루먼트
1784,344860,이노진
1785,246960,이노테라피
1786,088390,이녹스
1787,272290,이녹스첨단소재
1788,053350,이니텍
1789,041520,이라이콤
1790,264850,이랜시스
1791,054210,이랜텍
1792,164060,이루다
1793,065440,이루온
1794,088260,이리츠코크렙
1795,139480,이마트
1796,115610,이미지스
1797,349720,이베스트스팩5호
1798,078020,이베스트투자증권
1799,131400,이브이첨단소재
1800,208850,이비테크
1801,351330,이삭엔지니어링
1802,080010,이상네트웍스
1803,379390,이성씨엔아이
1804,086890,이수앱지스
1805,007660,이수페타시스
1806,005950,이수화학
1807,015020,이스타코
1808,047560,이스트소프트
1809,900110,이스트아시아홀딩스
1810,067010,이씨에스
1811,093230,이아이디
1812,341310,이앤에치
1813,101360,이엔드디
1814,102710,이엔에프테크놀로지
1815,066980,이엔코퍼레이션
1816,074610,이엔플러스
1817,063760,이엘피
1818,123570,이엠넷
1819,083470,이엠앤아이
1820,095190,이엠코리아
1821,091120,이엠텍
1822,232530,이엠티
1823,102460,이연제약
1824,039030,이오테크닉스
1825,294090,이오플로우
1826,088290,이원컴포텍
1827,084680,이월드
1828,181340,이즈미디어
1829,353810,이지바이오
1830,350520,이지스레지던스리츠
1831,334890,이지스밸류리츠
1832,099750,이지케어텍
1833,377330,이지트로닉스
1834,035810,이지홀딩스
1835,160600,이큐셀
1836,092130,이크레더블
1837,096040,이트론
1838,134060,이퓨쳐
1839,001840,이화공영
1840,000760,이화산업
1841,024810,이화전기
1842,014990,인디에프
1843,041830,인바디
1844,352940,인바이오
1845,101140,인바이오젠
1846,216400,인바이츠바이오코아
1847,079950,인베니아
1848,277410,인산가
1849,060150,인선이엔티
1850,033230,인성정보
1851,006490,인스코비
1852,037330,인지디스플레
1853,023800,인지컨트롤스
1854,034590,인천도시가스
1855,211050,인카금융서비스
1856,083640,인콘
1857,216050,인크로스
1858,049070,인탑스
1859,119610,인터로조
1860,017250,인터엠
1861,129260,인터지스
1862,051370,인터플렉스
1863,064290,인텍플러스
1864,189300,인텔리안테크
1865,150840,인트로메딕
1866,048530,인트론바이오
1867,023810,인팩
1868,175140,인포마크
1869,115310,인포바인
1870,039290,인포뱅크
1871,071200,인피니트헬스케어
1872,101930,인화정공
1873,249420,일동제약
1874,000230,일동홀딩스
1875,013360,일성건설
1876,003120,일성신약
1877,333430,일승
1878,068330,일신바이오
1879,003200,일신방직
1880,007110,일신석재
1881,058450,일야
1882,007570,일양약품
1883,007575,일양약품우
1884,008500,일정실업
1885,019540,일지테크
1886,081000,일진다이아
1887,020760,일진디스플
1888,020150,일진머티리얼즈
1889,103590,일진전기
1890,094820,일진파워
1891,271940,일진하이솔루스
1892,015860,일진홀딩스
1893,226320,잇츠한불
1894,950140,잉글우드랩
1895,049550,잉크테크
1896,254120,자비스
1897,043910,자연과환경
1898,234920,자이글
1899,289220,자이언트스텝
1900,317400,자이에스앤디
1901,033240,자화전자
1902,174880,장원테크
1903,049630,재영솔루텍
1904,000950,전방
1905,110020,전진바이오팜
1906,208140,정다운
1907,040420,정상제이엘에스
1908,045510,정원엔시스
1909,217190,제너셈
1910,095700,제넥신
1911,072520,제넨바이오
1912,122310,제노레이
1913,361390,제노코
1914,066830,제노텍
1915,187420,제노포커스
1916,225220,제놀루션
1917,123330,제닉
1918,159580,제로투세븐
1919,147830,제룡산업
1920,033100,제룡전기
1921,079370,제우스
1922,054950,제이브이엠
1923,023440,제이스코홀딩스
1924,090470,제이스텍
1925,287410,제이시스메디칼
1926,137950,제이씨케미칼
1927,033320,제이씨현시스템
1928,348950,제이알글로벌리츠
1929,204270,제이앤티씨
1930,194370,제이에스코퍼레이션
1931,026040,제이에스티나
1932,126880,제이엔케이히터
1933,322510,제이엘케이
1934,254160,제이엠멀티
1935,033050,제이엠아이
1936,094970,제이엠티
1937,058420,제이웨이
1938,025620,제이준코스메틱
1939,089790,제이티
1940,030000,제일기획
1941,052670,제일바이오
1942,271980,제일약품
1943,001560,제일연마
1944,199820,제일전기공업
1945,038010,제일테크노스
1946,002620,제일파마홀딩스
1947,276730,제주맥주
1948,080220,제주반도체
1949,006220,제주은행
1950,089590,제주항공
1951,216080,제테마
1952,229000,젠큐릭스
1953,248020,젬
1954,082270,젬백스
1955,064800,젬백스링크
1956,044060,조광ILI
1957,004910,조광페인트
1958,004700,조광피혁
1959,001550,조비
1960,000480,조선내화
1961,120030,조선선재
1962,034940,조아제약
1963,067000,조이시티
1964,018470,조일알미늄
1965,002600,조흥
1966,185750,종근당
1967,063160,종근당바이오
1968,001630,종근당홀딩스
1969,033340,좋은사람들
1970,036930,주성엔지니어링
1971,044380,주연테크
1972,239340,줌인터넷
1973,051980,중앙디앤엠
1974,072020,중앙백신
1975,000440,중앙에너비스
1976,078650,지나인제약
1977,228760,지노믹트리
1978,314130,지놈앤컴퍼니
1979,013890,지누스
1980,389030,지니너스
1981,043610,지니뮤직
1982,263860,지니언스
1983,303030,지니틱스
1984,036180,지더블유바이텍
1985,208350,지란지교시큐리티
1986,144510,지씨셀
1987,382480,지아이텍
1988,382800,지앤비에스엔지니어링
1989,299480,지앤이헬스케어
1990,051160,지어소프트
1991,053050,지에스이
1992,119850,지엔씨에너지
1993,270520,지엔원에너지
1994,065060,지엔코
1995,204840,지엘팜텍
1996,013870,지엠비코리아
1997,071320,지역난방공사
1998,311320,지오엘리먼트
1999,035000,지투알
2000,388050,지투파워
2001,219750,지티지웰니스
2002,088790,진도
2003,018120,진로발효
2004,109820,진매트릭스
2005,086060,진바이오텍
2006,036890,진성티이씨
2007,363250,진시스템
2008,003780,진양산업
2009,007370,진양제약
2010,010640,진양폴리
2011,100250,진양홀딩스
2012,051630,진양화학
2013,272450,진에어
2014,011000,진원생명과학
2015,250030,진코스텍
2016,002780,진흥기업
2017,002787,진흥기업2우B
2018,002785,진흥기업우B
2019,233990,질경이
2020,085660,차바이오텍
2021,261780,차백신연구소
2022,009310,참엔지니어링
2023,158310,참존글로벌
2024,094850,참좋은여행
2025,004650,창해에탄올
2026,278280,천보
2027,000650,천일고속
2028,140290,청광건설
2029,362320,청담글로벌
2030,066360,체리부로
2031,033250,체시스
2032,047820,초록뱀미디어
2033,052300,초록뱀컴퍼니
2034,118000,초록뱀헬스케어
2035,094360,칩스앤미디어
2036,016790,카나리아바이오
2037,016920,카스
2038,284620,카이노스메드
2039,035720,카카오
2040,293490,카카오게임즈
2041,323410,카카오뱅크
2042,377300,카카오페이
2043,042000,카페24
2044,006380,카프로
2045,317530,캐리소프트
2046,071850,캐스텍코리아
2047,050110,캠시스
2048,223310,커머스마이너
2049,109070,컨버즈
2050,900310,컬러레이
2051,078340,컴투스
2052,063080,컴투스홀딩스
2053,307930,컴퍼니케이
2054,079190,케스피온
2055,263700,케어랩스
2056,214370,케어젠
2057,221980,케이디켐
2058,001620,케이비아이동국실업
2059,342550,케이비제20호스팩
2060,424140,케이비제21호스팩
2061,192250,케이사인
2062,029460,케이씨
2063,115500,케이씨에스
2064,281820,케이씨텍
2065,089150,케이씨티
2066,025880,케이씨피드
2067,093320,케이아이엔엑스
2068,073010,케이에스피
2069,105330,케이엔더블유
2070,272110,케이엔제이
2071,039420,케이엘넷
2072,083550,케이엠
2073,032500,케이엠더블유
2074,225430,케이엠제약
2075,102370,케이옥션
2076,381970,케이카
2077,145270,케이탑리츠
2078,036030,케이티알파
2079,064820,케이프
2080,347140,케이프이에스제4호
2081,256940,케이피에스
2082,024880,케이피에프
2083,042040,케이피엠테크
2084,054410,케이피티유
2085,258610,케일럼
2086,274090,켄코아에어로스페이스
2087,402420,켈스
2088,217600,켐온
2089,089010,켐트로닉스
2090,220260,켐트로스
2091,176590,코나솔
2092,052400,코나아이
2093,402030,코난테크놀로지
2094,391710,코닉오토메이션
2095,046070,코다코
2096,047770,코데즈컴바인
2097,078940,코드네이처
2098,080530,코디
2099,224060,코디엠
2100,417310,코람코더원리츠
2101,357120,코람코에너지리츠
2102,104540,코렌텍
2103,027050,코리아나
2104,290510,코리아센터
2105,007815,코리아써우
2106,007810,코리아써키트
2107,00781K,코리아써키트2우B
2108,190650,코리아에셋투자증권
2109,101670,코리아에스이
2110,123410,코리아에프티
2111,003690,코리안리
2112,036690,코맥스
2113,049430,코메론
2114,183300,코미코
2115,041960,코미팜
2116,089890,코세스
2117,009730,코센
2118,189350,코셋
2119,082660,코스나인
2120,192820,코스맥스
2121,044820,코스맥스비티아이
2122,222040,코스맥스엔비티
2123,241710,코스메카코리아
2124,005070,코스모신소재
2125,005420,코스모화학
2126,069110,코스온
2127,169670,코스텍시스템
2128,071950,코아스
2129,166480,코아스템
2130,045970,코아시아
2131,196450,코아시아옵틱스
2132,029960,코엔텍
2133,002020,코오롱
2134,003070,코오롱글로벌
2135,003075,코오롱글로벌우
2136,102940,코오롱생명과학
2137,002025,코오롱우
2138,120110,코오롱인더
2139,120115,코오롱인더우
2140,950160,코오롱티슈진
2141,138490,코오롱플라스틱
2142,056000,코원플레이
2143,021240,코웨이
2144,033290,코웰패션
2145,056360,코위버
2146,282880,코윈테크
2147,121850,코이즈
2148,015710,코콤
2149,052330,코텍
2150,322780,코퍼스코리아
2151,126600,코프라
2152,036420,콘텐트리중앙
2153,200130,콜마비앤에이치
2154,031820,콤텍시스템
2155,294570,쿠콘
2156,192400,쿠쿠홀딩스
2157,284740,쿠쿠홈시스
2158,317690,퀀타매트릭스
2159,365270,큐라클
2160,060280,큐렉소
2161,015590,큐로
2162,040350,큐로컴
2163,051780,큐로홀딩스
2164,115180,큐리언트
2165,182360,큐브엔터
2166,066310,큐에스아이
2167,136660,큐엠씨
2168,016600,큐캐피탈
2169,264900,크라운제과
2170,26490K,크라운제과우
2171,005740,크라운해태홀딩스
2172,005745,크라운해태홀딩스우
2173,259960,크래프톤
2174,096240,크레버스
2175,215570,크로넥스
2176,043590,크로바하이텍
2177,114120,크루셜텍
2178,110790,크리스에프앤씨
2179,900250,크리스탈신소재
2180,083790,크리스탈지노믹스
2181,045520,크린앤사이언스
2182,036170,클라우드에어
2183,214150,클래시스
2184,352770,클리노믹스
2185,237880,클리오
2186,139670,키네마스터
2187,020120,키다리스튜디오
2188,413600,키움제6호스팩
2189,039490,키움증권
2190,054780,키이스트
2191,336040,타스컴
2192,219130,타이거일렉
2193,318660,타임기술
2194,180060,탑선
2195,065130,탑엔지니어링
2196,134580,탑코미디어
2197,014580,태경비케이
2198,015890,태경산업
2199,006890,태경케미컬
2200,023160,태광
2201,003240,태광산업
2202,011280,태림포장
2203,323280,태성
2204,053620,태양
2205,004100,태양금속
2206,004105,태양금속우
2207,116100,태양기계
2208,009410,태영건설
2209,009415,태영건설우
2210,044490,태웅
2211,124560,태웅로직스
2212,001420,태원물산
2213,007980,태평양물산
2214,191420,테고사이언스
2215,073640,테라사이언스
2216,182690,테라셈
2217,066700,테라젠이텍스
2218,095610,테스
2219,055490,테이팩스
2220,308700,테크엔
2221,089030,테크윙
2222,258050,테크트랜스
2223,054450,텔레칩스
2224,091440,텔레필드
2225,078000,텔코웨어
2226,200230,텔콘RF제약
2227,214420,토니모리
2228,393210,토마토시스템
2229,215480,토박스코리아
2230,051360,토비스
2231,045340,토탈소프트
2232,108230,톱텍
2233,079970,투비소프트
2234,199800,툴젠
2235,105550,트루윈
2236,290090,트윔
2237,026150,특수건설
2238,322180,티라유텍
2239,117730,티로보틱스
2240,033830,티비씨
2241,057680,티사이언티픽
2242,064760,티씨케이
2243,246710,티앤알바이오팹
2244,340570,티앤엘
2245,043220,티에스넥스젠
2246,277880,티에스아이
2247,131290,티에스이
2248,019180,티에이치엔
2249,356860,티엘비
2250,062860,티엘아이
2251,363280,티와이홀딩스
2252,36328K,티와이홀딩스우
2253,321550,티움바이오
2254,091810,티웨이항공
2255,004870,티웨이홀딩스
2256,104480,티케이케미칼
2257,081150,티플랙스
2258,130740,티피씨글로벌
2259,217880,틸론
2260,084730,팅크웨어
2261,046210,파나진
2262,058530,파나케이아
2263,034230,파라다이스
2264,033540,파라텍
2265,043200,파루
2266,214450,파마리서치
2267,217950,파마리서치바이오
2268,208340,파멥신
2269,005690,파미셀
2270,177830,파버나인
2271,037070,파세코
2272,150900,파수
2273,037030,파워넷
2274,047310,파워로직스
2275,266870,파워풀엑스
2276,368770,파이버프로
2277,170790,파이오링크
2278,049120,파인디앤씨
2279,038950,파인디지털
2280,106240,파인테크닉스
2281,131760,파인텍
2282,065690,파커스
2283,140860,파크시스템스
2284,091700,파트론
2285,202960,판도라티비
2286,032800,판타지오
2287,318010,팜스빌
2288,036580,팜스코
2289,027710,팜스토리
2290,004720,팜젠사이언스
2291,225590,패션플랫폼
2292,054300,팬스타엔터프라이즈
2293,068050,팬엔터테인먼트
2294,028670,팬오션
2295,222110,팬젠
2296,010820,퍼스텍
2297,016800,퍼시스
