,티커,종목명
270,024070,WISCOM
271,057030,YBM넷
272,037270,YG PLUS
273,040300,YTN
274,051390,YW
275,052220,iMBC
276,079940,가비아
277,078890,가온미디어
278,000500,가온전선
279,399720,가온칩스
280,036620,감성코퍼레이션
281,000860,강남제비스코
282,217730,강스템바이오텍
283,035250,강원랜드
284,114190,강원에너지
285,094480,갤럭시아머니트리
286,011420,갤럭시아에스엠
287,039240,경남스틸
288,053950,경남제약
289,002100,경농
290,009450,경동나비엔
291,267290,경동도시가스
292,012320,경동인베스트
293,011040,경동제약
294,000050,경방
295,214390,경보제약
296,012610,경인양행
297,009140,경인전자
298,024910,경창산업
299,013580,계룡건설
300,012200,계양전기
301,012205,계양전기우
302,002140,고려산업
303,198440,고려시멘트
304,049720,고려신용정보
305,010130,고려아연
306,002240,고려제강
307,014570,고려제약
308,348150,고바이오랩
309,098460,고영
310,035290,골드앤에스
311,038530,골드퍼시픽
312,900280,골든센츄리
313,215000,골프존
314,121440,골프존뉴딘홀딩스
315,183410,골프존데카
316,366030,공구우먼
317,076340,관악산업
318,009290,광동제약
319,014200,광림
320,017040,광명전기
321,029480,광무
322,017900,광전자
323,037710,광주신세계
324,026910,광진실업
325,355150,교보10호스팩
326,397880,교보11호스팩
327,421800,교보12호스팩
328,331520,교보9호스팩
329,030610,교보증권
330,339770,교촌에프앤비
331,053270,구영테크
332,007690,국도화학
333,005320,국동
334,001140,국보
335,066620,국보디자인
336,043650,국순당
337,006050,국영지앤엠
338,060480,국일신동
339,078130,국일제지
340,307750,국전약품
341,002720,국제약품
342,243870,굿센
343,035080,그래디언트
344,204020,그리티
345,083420,그린케미칼
346,186230,그린플러스
347,014530,극동유화
348,900070,글로벌에스엠
349,204620,글로벌텍스프리
350,019660,글로본
351,014280,금강공업
352,014285,금강공업우
353,053260,금강철강
354,008870,금비
355,001570,금양
356,002990,금호건설
357,002995,금호건설우
358,011780,금호석유
359,011785,금호석유우
360,214330,금호에이치티
361,001210,금호전기
362,073240,금호타이어
363,036190,금화피에스시
364,049080,기가레인
365,035460,기산텔레콤
366,092440,기신정기
367,000270,기아
368,024110,기업은행
369,013700,까뮤이앤씨
370,308100,까스텔바작
371,004540,깨끗한나라
372,004545,깨끗한나라우
373,187790,나노
374,286750,나노브릭
375,121600,나노신소재
376,247660,나노씨엠에스
377,039860,나노엔텍
378,091970,나노캠텍
379,244880,나눔테크
380,288490,나라소프트
381,051490,나라엠앤디
382,137080,나래나노텍
383,190510,나무가
384,242040,나무기술
385,089600,나스미디어
386,293580,나우IB
