rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20170629000470,11011,2017,00378363,060310,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2017.03.31 현재,"-31,425,720,454",제 26 기,2016.03.31 현재,"-22,582,611,316",제 25 기,2015.03.31 현재,"-18,962,088,416",19,KRW
20170629000470,11011,2017,00378363,060310,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2017.03.31 현재,"28,719,749,170",제 26 기,2016.03.31 현재,"34,120,722,664",제 25 기,2015.03.31 현재,"37,669,538,708",22,KRW
20170629000470,11011,2017,00378363,060310,OFS,재무제표,IS,손익계산서,매출액,제 27 기,2016.04.01 ~ 2017.03.31,"24,416,495,270",제 26 기,2015.04.01 ~ 2016.03.31,"19,425,637,572",제 25 기,2014.04.01 ~ 2015.03.31,"21,104,219,053",24,KRW
20170629000470,11011,2017,00378363,060310,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2016.04.01 ~ 2017.03.31,"-2,504,608,669",제 26 기,2015.04.01 ~ 2016.03.31,"905,106,685",제 25 기,2014.04.01 ~ 2015.03.31,"-4,106,222,054",26,KRW
20170629000470,11011,2017,00378363,060310,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2016.04.01 ~ 2017.03.31,"-9,048,666,785",제 26 기,2015.04.01 ~ 2016.03.31,"-3,640,747,911",제 25 기,2014.04.01 ~ 2015.03.31,"-5,674,232,987",28,KRW
20170629000470,11011,2017,00378363,060310,OFS,재무제표,IS,손익계산서,당기순이익,제 27 기,2016.04.01 ~ 2017.03.31,"-8,843,109,138",제 26 기,2015.04.01 ~ 2016.03.31,"-3,620,522,900",제 25 기,2014.04.01 ~ 2015.03.31,"-5,538,219,239",30,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기,2017.12.31 현재,"318,877,073,839",제 17 기,2016.12.31 현재,"345,416,728,536",제 16 기,2015.12.31 현재,"252,774,438,116",1,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기,2017.12.31 현재,"2,035,356,660,661",제 17 기,2016.12.31 현재,"1,735,900,124,893",제 16 기,2015.12.31 현재,"1,472,425,759,379",3,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기,2017.12.31 현재,"2,354,233,734,500",제 17 기,2016.12.31 현재,"2,081,316,853,429",제 16 기,2015.12.31 현재,"1,725,200,197,495",5,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기,2017.12.31 현재,"1,207,742,892,817",제 17 기,2016.12.31 현재,"992,364,518,455",제 16 기,2015.12.31 현재,"817,101,584,895",7,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기,2017.12.31 현재,"699,317,960,406",제 17 기,2016.12.31 현재,"661,466,633,151",제 16 기,2015.12.31 현재,"510,086,783,684",9,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기,2017.12.31 현재,"1,907,060,853,223",제 17 기,2016.12.31 현재,"1,653,831,151,606",제 16 기,2015.12.31 현재,"1,327,188,368,579",11,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,자본금,제 18 기,2017.12.31 현재,"46,822,295,000",제 17 기,2016.12.31 현재,"46,822,295,000",제 16 기,2015.12.31 현재,"46,822,295,000",13,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기,2017.12.31 현재,"160,276,835,162",제 17 기,2016.12.31 현재,"148,087,389,261",제 16 기,2015.12.31 현재,"134,583,520,023",17,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기,2017.12.31 현재,"447,172,881,277",제 17 기,2016.12.31 현재,"427,485,701,823",제 16 기,2015.12.31 현재,"398,011,828,916",21,KRW
